

Interrupt IDs
-------------

Name                                     Number
=====                                    ============
WCDMA_EENCINT                            227  (0x0E3)
WCDMA_CDIINT10                           228  (0x0E4)
WCDMA_CDIINT11                           229  (0x0E5)
WCDMA_CDIINT12                           230  (0x0E6)
WCDMA_CDIINT13                           231  (0x0E7)
WCDMA_CDIINT14                           232  (0x0E8)
WCDMA_RXFEINT0                           233  (0x0E9)
WCDMA_RXFEINT1                           234  (0x0EA)
WCDMA_RXFEINT2                           235  (0x0EB)
WCDMA_RXFEINT3                           236  (0x0EC)
WCDMA_HSTDECINT0                         237  (0x0ED)
WCDMA_HSTDECINT1                         238  (0x0EE)
WCDMA_HSTDECINT2                         239  (0x0EF)
WCDMA_HSTDECINT3                         240  (0x0F0)
WCDMA_HSTDECINT4                         241  (0x0F1)
WCDMA_CVOCPHWBUSINT                      242  (0x0F2)
WCDMA_CVDMAREQ                           243  (0x0F3)
WCDMA_CVIT_SILOERRINT                    244  (0x0F4)
WCDMA_CVIT_SILODONEINT                   245  (0x0F5)
WCDMA_CVIT_DECDONEINT                    246  (0x0F6)
WCDMA_HSVIT0INT                          247  (0x0F7)
WCDMA_HSVIT1INT                          248  (0x0F8)


WARNING CODES for Core SW

----------------------------------------------------------------------------


ERROR CODES for Core SW

----------------------------------------------------------------------------


WARNING CODES for WCDMA SW

----------------------------------------------------------------------------
W_TX_INVALID_SIG_WW: 278528       (0x00044000)
W_TX_INVALID_ISI_MSG_WW: 278529       (0x00044001)
W_TX_INVALID_PEND_SIG_WW: 278530       (0x00044002)
W_TX_INVALID_PHYS_DATA_CH_COUNT_WW: 278531       (0x00044003)
W_TX_INVALID_TRCH_COUNT_WW: 278532       (0x00044004)
W_TX_INVALID_TRCH_TF_COUNT_WW: 278533       (0x00044005)
W_TX_INVALID_TOTAL_TF_COUNT_WW: 278534       (0x00044006)
W_TX_INVALID_MIN_SF_WW: 278535       (0x00044007)
W_TX_INVALID_TFC_COUNT_WW: 278536       (0x00044008)
W_TX_INVALID_DPCH_SLOT_FORMAT_WW: 278537       (0x00044009)
W_TX_AUDIO_SPC_TIMING_RESP_FAIL_WW: 278538       (0x0004400A)
W_TX_DPCH_COMPUTED_GAINS_FAILED_WW: 278539       (0x0004400B)
W_TX_SIMULTANEOUS_CONFIG_ATTEMPT_WW: 278540       (0x0004400C)
